reg_id,uri,type,"name (en)","label (en)","lexicalAlias (en)","description (en)","note (en)","comment (en)",domain,range,hasUnconstrained,parent_class,subClassOf,parent_property,subPropertyOf,inverseOf,sameAs,propertyDisjointWith,disjointWith,equivalentClass,equivalentProperty,"altLabel (en)",broadMatch,closeMatch,narrowMatch,status,instructionNumber,"ToolkitLabel (en)","ToolkitDefinition (en)","changeNote (en)"
uri,reg:uri,rdf:type,reg:name,rdfs:label,reg:lexicalAlias,skos:definition,skos:scopeNote,rdfs:comment,rdfs:domain,rdfs:range,reg:hasUnconstrained,rdfs:subClassOf,rdfs:subClassOf,rdfs:subPropertyOf,rdfs:subPropertyOf,owl:inverseOf,owl:sameAs,owl:propertyDisjointWith,owl:disjointWith,owl:equivalentClass,owl:equivalentProperty,skos:altLabel,skos:broadMatch,skos:closeMatch,skos:narrowMatch,reg:status,rdakit:instructionNumber,rdakit:toolkitLabel,rdakit:toolkitDefinition,skos:changeNote
lang,en,,en,en,en,en,en,en,,,,,,,,,,,,,,en,,,,,,en,en,en
type,uri,property,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,,property,property,property,property,property,,,
meta,token,regap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"OMR Application Profile",,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,schema_id,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://uri.registry.dev/profile/regap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://uri.registry.dev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,schema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,regap,http://uri.registry.dev/profile/regap/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16351,regap:100001,property,hasSubProperty,"has subProperty",regap:hasSubProperty.en,,,,,,,,,,,,,,,,,,,,,1,,,,
16352,regap:100003,property,hasSubClass,"has subClass",regap:hasSubClass.en,,,,,,,,,,,,,,,,,,,,,1,,,,
16353,regap:100005,property,hasUnconstrained,"has unconstrained",regap:hasUnconstrained.en,,,,,,,,,,,,,,,,,,,,,1,,,,
16354,regap:100007,property,lexicalAlias,"Lexical Alias",regap:lexicalAlias.en,,,,,,,,,,,,,,,,,,,,,1,,,,
16355,regap:100009,property,name,name,regap:name.en,,,,,,,,,,,,,,,,,,,,,1,,,,
16356,regap:100011,property,status,status,regap:status.en,,,,,,,,,,,,,,,,,,,,,1,,,,
16357,regap:100013,property,url,url,regap:url.en,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
